INSERT INTO LGINVOICE VALUES (960, '30-APR-11', 458, 29.18, 83792);
INSERT INTO LGINVOICE VALUES (2749, '04-NOV-11', 1165, 402.72, 84134);
INSERT INTO LGINVOICE VALUES (2752, '05-NOV-11', 569, 196.48, 83734);
INSERT INTO LGINVOICE VALUES (2755, '05-NOV-11', 461, 124.22, 84219);
INSERT INTO LGINVOICE VALUES (2758, '05-NOV-11', 551, 386.89, 83621);
INSERT INTO LGINVOICE VALUES (2761, '05-NOV-11', 1171, 341.8, 83936);
INSERT INTO LGINVOICE VALUES (2764, '06-NOV-11', 152, 173.91, 83593);
INSERT INTO LGINVOICE VALUES (2767, '06-NOV-11', 1065, 105.22, 83993);
INSERT INTO LGINVOICE VALUES (2770, '06-NOV-11', 1177, 200.47, 84420);
INSERT INTO LGINVOICE VALUES (2773, '06-NOV-11', 1180, 31.18, 84219);
INSERT INTO LGINVOICE VALUES (2777, '07-NOV-11', 1098, 312.9, 83677);
INSERT INTO LGINVOICE VALUES (2780, '07-NOV-11', 825, 258.57, 83593);
INSERT INTO LGINVOICE VALUES (2783, '07-NOV-11', 758, 253.88, 84392);
INSERT INTO LGINVOICE VALUES (2786, '08-NOV-11', 701, 410.76, 83565);
INSERT INTO LGINVOICE VALUES (2789, '08-NOV-11', 1184, 37.17, 83906);
INSERT INTO LGINVOICE VALUES (2792, '08-NOV-11', 1186, 288.87, 84106);
INSERT INTO LGINVOICE VALUES (2795, '09-NOV-11', 1187, 98.34, 83763);
INSERT INTO LGINVOICE VALUES (2798, '09-NOV-11', 1189, 477.6, 83677);
INSERT INTO LGINVOICE VALUES (2801, '09-NOV-11', 787, 186.37, 83677);
INSERT INTO LGINVOICE VALUES (2804, '10-NOV-11', 1191, 244.29, 83936);
INSERT INTO LGINVOICE VALUES (2808, '10-NOV-11', 1142, 110.32, 83993);
INSERT INTO LGINVOICE VALUES (2811, '10-NOV-11', 787, 67.85, 83964);
INSERT INTO LGINVOICE VALUES (2814, '11-NOV-11', 491, 94.95, 84134);
INSERT INTO LGINVOICE VALUES (2817, '11-NOV-11', 1074, 87.96, 83993);
INSERT INTO LGINVOICE VALUES (2820, '11-NOV-11', 104, 43.18, 83593);
INSERT INTO LGINVOICE VALUES (2823, '12-NOV-11', 984, 427.25, 83936);
INSERT INTO LGINVOICE VALUES (2910, '20-NOV-11', 1043, 342.86, 83763);
INSERT INTO LGINVOICE VALUES (2913, '21-NOV-11', 792, 26.97, 84134);
INSERT INTO LGINVOICE VALUES (2916, '21-NOV-11', 1224, 89.85, 83537);
INSERT INTO LGINVOICE VALUES (2919, '21-NOV-11', 1225, 29.99, 84106);
INSERT INTO LGINVOICE VALUES (2922, '21-NOV-11', 1048, 50.97, 83993);
INSERT INTO LGINVOICE VALUES (2925, '22-NOV-11', 622, 289.88, 83705);
INSERT INTO LGINVOICE VALUES (2928, '22-NOV-11', 233, 164.93, 84392);
INSERT INTO LGINVOICE VALUES (2931, '22-NOV-11', 499, 386.76, 83649);
INSERT INTO LGINVOICE VALUES (2934, '23-NOV-11', 996, 38.99, 83649);
INSERT INTO LGINVOICE VALUES (2938, '23-NOV-11', 868, 246.67, 83565);
INSERT INTO LGINVOICE VALUES (2941, '23-NOV-11', 164, 16.99, 83621);
INSERT INTO LGINVOICE VALUES (2944, '23-NOV-11', 928, 19.99, 84191);
INSERT INTO LGINVOICE VALUES (2947, '24-NOV-11', 1093, 196.35, 84364);
INSERT INTO LGINVOICE VALUES (2950, '24-NOV-11', 1233, 160.96, 84163);
INSERT INTO LGINVOICE VALUES (2953, '24-NOV-11', 1234, 215.66, 84078);
INSERT INTO LGINVOICE VALUES (2956, '25-NOV-11', 375, 166.19, 84078);
INSERT INTO LGINVOICE VALUES (2960, '25-NOV-11', 922, 282.33, 83593);
INSERT INTO LGINVOICE VALUES (2963, '25-NOV-11', 297, 242.91, 84219);
INSERT INTO LGINVOICE VALUES (2966, '26-NOV-11', 504, 121.41, 83593);
INSERT INTO LGINVOICE VALUES (2969, '26-NOV-11', 1243, 194.95, 83993);
INSERT INTO LGINVOICE VALUES (2972, '26-NOV-11', 1245, 77.96, 83820);
INSERT INTO LGINVOICE VALUES (2975, '27-NOV-11', 859, 541.84, 83705);
INSERT INTO LGINVOICE VALUES (2978, '27-NOV-11', 246, 391.83, 83936);
INSERT INTO LGINVOICE VALUES (2981, '27-NOV-11', 279, 280.94, 83621);
INSERT INTO LGINVOICE VALUES (2985, '28-NOV-11', 971, 43.98, 83850);
INSERT INTO LGINVOICE VALUES (2988, '28-NOV-11', 1250, 391.9, 84364);
INSERT INTO LGINVOICE VALUES (2991, '28-NOV-11', 781, 91.23, 83936);
INSERT INTO LGINVOICE VALUES (3080, '08-DEC-11', 1021, 391.88, 84163);
INSERT INTO LGINVOICE VALUES (3083, '09-DEC-11', 1285, 94.45, 83850);
INSERT INTO LGINVOICE VALUES (3086, '09-DEC-11', 934, 282.71, 84049);
INSERT INTO LGINVOICE VALUES (3089, '09-DEC-11', 698, 347.32, 83734);
INSERT INTO LGINVOICE VALUES (3092, '09-DEC-11', 557, 194.95, 83509);
INSERT INTO LGINVOICE VALUES (3095, '10-DEC-11', 1288, 191.83, 84191);
INSERT INTO LGINVOICE VALUES (3098, '10-DEC-11', 1289, 27.98, 84163);
INSERT INTO LGINVOICE VALUES (3101, '10-DEC-11', 1276, 300.27, 84276);
INSERT INTO LGINVOICE VALUES (3104, '10-DEC-11', 1292, 326.58, 83906);
INSERT INTO LGINVOICE VALUES (3108, '11-DEC-11', 108, 160.17, 83565);
INSERT INTO LGINVOICE VALUES (3111, '11-DEC-11', 1295, 105.95, 83850);
INSERT INTO LGINVOICE VALUES (3114, '12-DEC-11', 1298, 69.87, 83649);
INSERT INTO LGINVOICE VALUES (3117, '12-DEC-11', 1299, 128.7, 83936);
INSERT INTO LGINVOICE VALUES (3120, '12-DEC-11', 249, 13.18, 84078);
INSERT INTO LGINVOICE VALUES (3123, '12-DEC-11', 103, 229.84, 84306);
INSERT INTO LGINVOICE VALUES (3126, '13-DEC-11', 703, 276.93, 83763);
INSERT INTO LGINVOICE VALUES (3130, '13-DEC-11', 496, 105.85, 84420);
INSERT INTO LGINVOICE VALUES (3133, '13-DEC-11', 1305, 260.88, 83936);
INSERT INTO LGINVOICE VALUES (3136, '14-DEC-11', 599, 31.78, 83936);
INSERT INTO LGINVOICE VALUES (3139, '14-DEC-11', 1180, 207.13, 83734);
INSERT INTO LGINVOICE VALUES (3142, '14-DEC-11', 249, 352.36, 83565);
INSERT INTO LGINVOICE VALUES (3145, '15-DEC-11', 646, 109.94, 84306);
INSERT INTO LGINVOICE VALUES (3148, '15-DEC-11', 1315, 121.12, 84306);
INSERT INTO LGINVOICE VALUES (3151, '15-DEC-11', 1317, 300.24, 83906);
INSERT INTO LGINVOICE VALUES (3155, '16-DEC-11', 1318, 153.35, 84276);
INSERT INTO LGINVOICE VALUES (3158, '16-DEC-11', 166, 376.61, 84392);
INSERT INTO LGINVOICE VALUES (3161, '16-DEC-11', 1321, 296.69, 84078);
INSERT INTO LGINVOICE VALUES (3249, '26-DEC-11', 1356, 226.51, 84163);
INSERT INTO LGINVOICE VALUES (3252, '26-DEC-11', 477, 324.81, 83964);
INSERT INTO LGINVOICE VALUES (3255, '26-DEC-11', 1359, 159.18, 83649);
INSERT INTO LGINVOICE VALUES (3258, '27-DEC-11', 713, 213.67, 83509);
INSERT INTO LGINVOICE VALUES (3261, '27-DEC-11', 1360, 344.97, 83649);
INSERT INTO LGINVOICE VALUES (3264, '27-DEC-11', 1362, 295.01, 83593);
INSERT INTO LGINVOICE VALUES (3267, '27-DEC-11', 1124, 426.81, 84420);
INSERT INTO LGINVOICE VALUES (3271, '28-DEC-11', 1364, 242.05, 84163);
INSERT INTO LGINVOICE VALUES (3274, '28-DEC-11', 1365, 231.27, 84364);
INSERT INTO LGINVOICE VALUES (3277, '28-DEC-11', 1302, 233.69, 83878);
INSERT INTO LGINVOICE VALUES (3280, '28-DEC-11', 1368, 71.16, 83906);
INSERT INTO LGINVOICE VALUES (3283, '29-DEC-11', 1322, 163.15, 84334);
INSERT INTO LGINVOICE VALUES (3287, '29-DEC-11', 480, 203.62, 83820);
INSERT INTO LGINVOICE VALUES (3290, '29-DEC-11', 1043, 318.61, 83936);
INSERT INTO LGINVOICE VALUES (3293, '30-DEC-11', 596, 193.89, 84191);
INSERT INTO LGINVOICE VALUES (3296, '30-DEC-11', 1374, 65.14, 84334);
INSERT INTO LGINVOICE VALUES (3299, '30-DEC-11', 118, 190.32, 83792);
INSERT INTO LGINVOICE VALUES (3302, '31-DEC-11', 585, 113.87, 83993);
INSERT INTO LGINVOICE VALUES (3305, '31-DEC-11', 1379, 127.21, 83820);
INSERT INTO LGINVOICE VALUES (3308, '31-DEC-11', 1381, 337.3, 84106);
INSERT INTO LGINVOICE VALUES (3311, '01-JAN-12', 283, 350.81, 84106);
INSERT INTO LGINVOICE VALUES (3314, '01-JAN-12', 1385, 179.3, 84219);
INSERT INTO LGINVOICE VALUES (3317, '01-JAN-12', 1386, 193.86, 84276);
INSERT INTO LGINVOICE VALUES (3320, '01-JAN-12', 1388, 225.33, 83677);
INSERT INTO LGINVOICE VALUES (3323, '02-JAN-12', 1390, 281.14, 83565);
INSERT INTO LGINVOICE VALUES (3326, '02-JAN-12', 1392, 525.87, 84219);
INSERT INTO LGINVOICE VALUES (3329, '02-JAN-12', 734, 218.82, 84392);
INSERT INTO LGINVOICE VALUES (3332, '02-JAN-12', 1395, 483.79, 84219);
INSERT INTO LGINVOICE VALUES (3426, '13-JAN-12', 581, 255.15, 83936);
INSERT INTO LGINVOICE VALUES (3429, '14-JAN-12', 642, 73.98, 83649);
INSERT INTO LGINVOICE VALUES (3432, '14-JAN-12', 1438, 29.67, 83593);
INSERT INTO LGINVOICE VALUES (3435, '14-JAN-12', 215, 242.95, 83705);
INSERT INTO LGINVOICE VALUES (3438, '15-JAN-12', 1441, 167.89, 84306);
INSERT INTO LGINVOICE VALUES (3441, '15-JAN-12', 1442, 203.9, 84334);
INSERT INTO LGINVOICE VALUES (3444, '15-JAN-12', 700, 187.9, 83621);
INSERT INTO LGINVOICE VALUES (3447, '16-JAN-12', 1443, 114.9, 83565);
INSERT INTO LGINVOICE VALUES (3450, '16-JAN-12', 1445, 458.13, 84106);
INSERT INTO LGINVOICE VALUES (3453, '16-JAN-12', 490, 196.71, 84392);
INSERT INTO LGINVOICE VALUES (105, '30-JAN-11', 89, 6.59, 83734);
INSERT INTO LGINVOICE VALUES (401, '03-MAR-11', 143, 141.52, 83621);
INSERT INTO LGINVOICE VALUES (405, '03-MAR-11', 223, 111.52, 84276);
INSERT INTO LGINVOICE VALUES (408, '04-MAR-11', 212, 13.39, 84306);
INSERT INTO LGINVOICE VALUES (411, '04-MAR-11', 225, 186.71, 84364);
INSERT INTO LGINVOICE VALUES (414, '05-MAR-11', 179, 288.9, 84134);
INSERT INTO LGINVOICE VALUES (417, '05-MAR-11', 97, 369.61, 84420);
INSERT INTO LGINVOICE VALUES (420, '05-MAR-11', 226, 131.95, 83878);
INSERT INTO LGINVOICE VALUES (423, '05-MAR-11', 228, 416.99, 84392);
INSERT INTO LGINVOICE VALUES (426, '06-MAR-11', 111, 259.08, 84049);
INSERT INTO LGINVOICE VALUES (429, '06-MAR-11', 213, 240.06, 84334);
INSERT INTO LGINVOICE VALUES (432, '06-MAR-11', 150, 143.94, 83850);
INSERT INTO LGINVOICE VALUES (435, '06-MAR-11', 169, 239.64, 84420);
INSERT INTO LGINVOICE VALUES (438, '07-MAR-11', 106, 181.82, 84191);
INSERT INTO LGINVOICE VALUES (442, '07-MAR-11', 167, 187.34, 83964);
INSERT INTO LGINVOICE VALUES (533, '18-MAR-11', 273, 84.95, 84078);
INSERT INTO LGINVOICE VALUES (536, '18-MAR-11', 194, 141.53, 83621);
INSERT INTO LGINVOICE VALUES (539, '18-MAR-11', 279, 188.56, 83509);
INSERT INTO LGINVOICE VALUES (542, '18-MAR-11', 187, 201.1, 84106);
INSERT INTO LGINVOICE VALUES (545, '19-MAR-11', 97, 343.47, 83820);
INSERT INTO LGINVOICE VALUES (548, '19-MAR-11', 216, 242.48, 84163);
INSERT INTO LGINVOICE VALUES (551, '19-MAR-11', 282, 191.53, 83565);
INSERT INTO LGINVOICE VALUES (554, '19-MAR-11', 105, 265.33, 83593);
INSERT INTO LGINVOICE VALUES (557, '20-MAR-11', 284, 218.66, 83964);
INSERT INTO LGINVOICE VALUES (560, '20-MAR-11', 286, 226.4, 84049);
INSERT INTO LGINVOICE VALUES (564, '21-MAR-11', 288, 83.54, 84106);
INSERT INTO LGINVOICE VALUES (567, '21-MAR-11', 290, 123.73, 83906);
INSERT INTO LGINVOICE VALUES (570, '21-MAR-11', 99, 125.97, 84306);
INSERT INTO LGINVOICE VALUES (573, '22-MAR-11', 292, 362.02, 83906);
INSERT INTO LGINVOICE VALUES (576, '22-MAR-11', 295, 249.9, 83593);
INSERT INTO LGINVOICE VALUES (579, '22-MAR-11', 296, 19.95, 83677);
INSERT INTO LGINVOICE VALUES (582, '22-MAR-11', 298, 129.56, 84021);
INSERT INTO LGINVOICE VALUES (585, '23-MAR-11', 112, 252.68, 83964);
INSERT INTO LGINVOICE VALUES (588, '23-MAR-11', 301, 118.6, 83621);
INSERT INTO LGINVOICE VALUES (591, '23-MAR-11', 302, 376.82, 84163);
INSERT INTO LGINVOICE VALUES (594, '24-MAR-11', 86, 261.47, 84219);
INSERT INTO LGINVOICE VALUES (597, '24-MAR-11', 306, 96.59, 84049);
INSERT INTO LGINVOICE VALUES (600, '24-MAR-11', 308, 95.96, 83537);
INSERT INTO LGINVOICE VALUES (603, '24-MAR-11', 256, 299.17, 84334);
INSERT INTO LGINVOICE VALUES (606, '25-MAR-11', 195, 242.69, 83734);
INSERT INTO LGINVOICE VALUES (609, '25-MAR-11', 201, 255.53, 83677);
INSERT INTO LGINVOICE VALUES (613, '25-MAR-11', 314, 32.95, 84420);
INSERT INTO LGINVOICE VALUES (700, '03-APR-11', 330, 44.97, 84364);
INSERT INTO LGINVOICE VALUES (703, '04-APR-11', 349, 344.58, 84306);
INSERT INTO LGINVOICE VALUES (711, '04-APR-11', 351, 23.37, 84134);
INSERT INTO LGINVOICE VALUES (714, '05-APR-11', 352, 131.96, 84219);
INSERT INTO LGINVOICE VALUES (717, '05-APR-11', 344, 414.8, 83734);
INSERT INTO LGINVOICE VALUES (721, '05-APR-11', 249, 29.97, 84392);
INSERT INTO LGINVOICE VALUES (724, '06-APR-11', 355, 47.18, 83906);
INSERT INTO LGINVOICE VALUES (727, '06-APR-11', 126, 168.17, 84334);
INSERT INTO LGINVOICE VALUES (730, '06-APR-11', 236, 123.95, 83964);
INSERT INTO LGINVOICE VALUES (733, '07-APR-11', 247, 289.63, 84021);
INSERT INTO LGINVOICE VALUES (737, '07-APR-11', 362, 132.93, 83850);
INSERT INTO LGINVOICE VALUES (740, '08-APR-11', 253, 159.9, 83649);
INSERT INTO LGINVOICE VALUES (743, '08-APR-11', 136, 81.86, 84306);
INSERT INTO LGINVOICE VALUES (746, '08-APR-11', 365, 281.07, 83537);
INSERT INTO LGINVOICE VALUES (750, '09-APR-11', 211, 46.77, 83649);
INSERT INTO LGINVOICE VALUES (753, '09-APR-11', 366, 8.99, 84078);
INSERT INTO LGINVOICE VALUES (756, '09-APR-11', 321, 106.35, 84276);
INSERT INTO LGINVOICE VALUES (759, '10-APR-11', 369, 284.46, 83649);
INSERT INTO LGINVOICE VALUES (762, '10-APR-11', 314, 404.78, 83993);
INSERT INTO LGINVOICE VALUES (765, '10-APR-11', 138, 164.95, 84134);
INSERT INTO LGINVOICE VALUES (768, '10-APR-11', 373, 321.76, 83537);
INSERT INTO LGINVOICE VALUES (772, '11-APR-11', 109, 108.29, 84334);
INSERT INTO LGINVOICE VALUES (775, '11-APR-11', 108, 225.86, 83792);
INSERT INTO LGINVOICE VALUES (778, '12-APR-11', 377, 164.48, 84334);
INSERT INTO LGINVOICE VALUES (781, '12-APR-11', 88, 186.9, 84163);
INSERT INTO LGINVOICE VALUES (784, '12-APR-11', 380, 124.02, 84191);
INSERT INTO LGINVOICE VALUES (787, '13-APR-11', 292, 266.89, 83649);
INSERT INTO LGINVOICE VALUES (875, '22-APR-11', 254, 198.42, 84420);
INSERT INTO LGINVOICE VALUES (878, '22-APR-11', 420, 458.76, 84163);
INSERT INTO LGINVOICE VALUES (881, '23-APR-11', 215, 79.96, 83820);
INSERT INTO LGINVOICE VALUES (884, '23-APR-11', 338, 141.08, 84134);
INSERT INTO LGINVOICE VALUES (887, '23-APR-11', 335, 160.9, 83677);
INSERT INTO LGINVOICE VALUES (890, '23-APR-11', 425, 546.82, 83677);
INSERT INTO LGINVOICE VALUES (894, '24-APR-11', 429, 36.45, 83936);
INSERT INTO LGINVOICE VALUES (897, '24-APR-11', 371, 122.91, 83593);
INSERT INTO LGINVOICE VALUES (900, '24-APR-11', 408, 32.89, 83792);
INSERT INTO LGINVOICE VALUES (903, '25-APR-11', 432, 399.12, 84306);
INSERT INTO LGINVOICE VALUES (906, '25-APR-11', 434, 103.94, 84163);
INSERT INTO LGINVOICE VALUES (909, '25-APR-11', 437, 95.52, 83964);
INSERT INTO LGINVOICE VALUES (912, '26-APR-11', 131, 81.55, 84078);
INSERT INTO LGINVOICE VALUES (915, '26-APR-11', 440, 21.99, 84191);
INSERT INTO LGINVOICE VALUES (918, '26-APR-11', 248, 248.36, 83621);
INSERT INTO LGINVOICE VALUES (921, '26-APR-11', 347, 183.96, 84420);
INSERT INTO LGINVOICE VALUES (925, '27-APR-11', 272, 261.36, 84219);
INSERT INTO LGINVOICE VALUES (928, '27-APR-11', 444, 212.86, 84392);
INSERT INTO LGINVOICE VALUES (931, '27-APR-11', 421, 84.65, 83763);
INSERT INTO LGINVOICE VALUES (934, '27-APR-11', 446, 489.14, 84276);
INSERT INTO LGINVOICE VALUES (937, '28-APR-11', 153, 223.02, 84106);
INSERT INTO LGINVOICE VALUES (940, '28-APR-11', 448, 173.5, 83565);
INSERT INTO LGINVOICE VALUES (943, '29-APR-11', 415, 184.95, 83763);
INSERT INTO LGINVOICE VALUES (947, '29-APR-11', 451, 343.81, 84334);
INSERT INTO LGINVOICE VALUES (950, '29-APR-11', 453, 224.98, 84134);
INSERT INTO LGINVOICE VALUES (953, '30-APR-11', 202, 66.95, 83792);
INSERT INTO LGINVOICE VALUES (956, '30-APR-11', 326, 219.83, 83537);
INSERT INTO LGINVOICE VALUES (959, '30-APR-11', 457, 95.93, 83677);
INSERT INTO LGINVOICE VALUES (2399, '28-SEP-11', 97, 27.18, 84392);
INSERT INTO LGINVOICE VALUES (2402, '29-SEP-11', 582, 98.86, 84106);
INSERT INTO LGINVOICE VALUES (2405, '29-SEP-11', 945, 137.16, 83677);
INSERT INTO LGINVOICE VALUES (2408, '29-SEP-11', 755, 281.12, 84049);
INSERT INTO LGINVOICE VALUES (2411, '29-SEP-11', 665, 263.71, 83509);
INSERT INTO LGINVOICE VALUES (2414, '30-SEP-11', 1035, 111.91, 83621);
INSERT INTO LGINVOICE VALUES (2417, '30-SEP-11', 1037, 134.52, 84134);
INSERT INTO LGINVOICE VALUES (2420, '30-SEP-11', 849, 273.26, 83964);
INSERT INTO LGINVOICE VALUES (2423, '01-OCT-11', 574, 208.09, 83906);
INSERT INTO LGINVOICE VALUES (2426, '01-OCT-11', 297, 7.79, 84334);
INSERT INTO LGINVOICE VALUES (2429, '01-OCT-11', 575, 96.56, 83763);
INSERT INTO LGINVOICE VALUES (2432, '02-OCT-11', 228, 98.34, 84219);
INSERT INTO LGINVOICE VALUES (2435, '02-OCT-11', 1041, 111.75, 83792);
INSERT INTO LGINVOICE VALUES (2438, '02-OCT-11', 189, 418.92, 83964);
INSERT INTO LGINVOICE VALUES (2442, '03-OCT-11', 207, 445.23, 83878);
INSERT INTO LGINVOICE VALUES (2445, '03-OCT-11', 200, 213.38, 83565);
INSERT INTO LGINVOICE VALUES (2448, '04-OCT-11', 370, 129.93, 84078);
INSERT INTO LGINVOICE VALUES (2451, '04-OCT-11', 1048, 50.51, 84392);
INSERT INTO LGINVOICE VALUES (2454, '04-OCT-11', 164, 95.96, 83878);
INSERT INTO LGINVOICE VALUES (2457, '05-OCT-11', 1051, 295.46, 84021);
INSERT INTO LGINVOICE VALUES (2460, '05-OCT-11', 494, 161.67, 83936);
INSERT INTO LGINVOICE VALUES (2463, '05-OCT-11', 121, 312.22, 83850);
INSERT INTO LGINVOICE VALUES (2466, '06-OCT-11', 1053, 406.1, 83792);
INSERT INTO LGINVOICE VALUES (2469, '06-OCT-11', 302, 382.82, 84078);
INSERT INTO LGINVOICE VALUES (2472, '06-OCT-11', 787, 194.3, 83936);
INSERT INTO LGINVOICE VALUES (2475, '07-OCT-11', 324, 310.87, 84049);
INSERT INTO LGINVOICE VALUES (2479, '07-OCT-11', 370, 92.63, 83936);
INSERT INTO LGINVOICE VALUES (2482, '07-OCT-11', 618, 436.75, 84276);
INSERT INTO LGINVOICE VALUES (2570, '16-OCT-11', 946, 214.45, 84163);
INSERT INTO LGINVOICE VALUES (2573, '16-OCT-11', 1091, 97.75, 84049);
INSERT INTO LGINVOICE VALUES (2576, '16-OCT-11', 1092, 373.87, 84334);
INSERT INTO LGINVOICE VALUES (2579, '17-OCT-11', 702, 314.86, 83649);
INSERT INTO LGINVOICE VALUES (2314, '19-SEP-11', 232, 141.48, 83537);
INSERT INTO LGINVOICE VALUES (2315, '19-SEP-11', 993, 124.24, 84163);
INSERT INTO LGINVOICE VALUES (2317, '19-SEP-11', 489, 318.21, 84049);
INSERT INTO LGINVOICE VALUES (2318, '20-SEP-11', 995, 247.31, 84334);
INSERT INTO LGINVOICE VALUES (2319, '20-SEP-11', 157, 150.42, 83850);
INSERT INTO LGINVOICE VALUES (2320, '20-SEP-11', 996, 278.23, 83677);
INSERT INTO LGINVOICE VALUES (2321, '20-SEP-11', 395, 278.41, 83850);
INSERT INTO LGINVOICE VALUES (2323, '20-SEP-11', 203, 487.62, 83993);
INSERT INTO LGINVOICE VALUES (2324, '20-SEP-11', 998, 251.89, 84219);
INSERT INTO LGINVOICE VALUES (2325, '20-SEP-11', 999, 91.11, 83621);
INSERT INTO LGINVOICE VALUES (2326, '21-SEP-11', 299, 188.31, 83878);
INSERT INTO LGINVOICE VALUES (2327, '21-SEP-11', 625, 128.63, 83705);
INSERT INTO LGINVOICE VALUES (2329, '21-SEP-11', 717, 210.45, 84021);
INSERT INTO LGINVOICE VALUES (2330, '21-SEP-11', 1001, 263.52, 84021);
INSERT INTO LGINVOICE VALUES (2331, '21-SEP-11', 173, 59.95, 83734);
INSERT INTO LGINVOICE VALUES (2332, '21-SEP-11', 923, 174.94, 83621);
INSERT INTO LGINVOICE VALUES (2333, '21-SEP-11', 1002, 102.43, 84334);
INSERT INTO LGINVOICE VALUES (2335, '21-SEP-11', 1004, 307.83, 84078);
INSERT INTO LGINVOICE VALUES (2336, '22-SEP-11', 691, 401.64, 83964);
INSERT INTO LGINVOICE VALUES (2337, '22-SEP-11', 1005, 200.3, 83792);
INSERT INTO LGINVOICE VALUES (2338, '22-SEP-11', 220, 691.01, 84334);
INSERT INTO LGINVOICE VALUES (2339, '22-SEP-11', 934, 22.28, 84134);
INSERT INTO LGINVOICE VALUES (2341, '22-SEP-11', 1007, 572.65, 84248);
INSERT INTO LGINVOICE VALUES (2342, '22-SEP-11', 675, 116.73, 83537);
INSERT INTO LGINVOICE VALUES (2343, '23-SEP-11', 502, 59.98, 83906);
INSERT INTO LGINVOICE VALUES (2344, '23-SEP-11', 1008, 325.27, 84163);
INSERT INTO LGINVOICE VALUES (2345, '23-SEP-11', 755, 95.96, 84392);
INSERT INTO LGINVOICE VALUES (2347, '23-SEP-11', 93, 81.93, 84191);
INSERT INTO LGINVOICE VALUES (2348, '23-SEP-11', 429, 166.89, 84420);
INSERT INTO LGINVOICE VALUES (2349, '23-SEP-11', 839, 11.99, 84049);
INSERT INTO LGINVOICE VALUES (2350, '23-SEP-11', 1009, 189.1, 83878);
INSERT INTO LGINVOICE VALUES (2351, '23-SEP-11', 1010, 78.36, 84392);
INSERT INTO LGINVOICE VALUES (2353, '24-SEP-11', 1011, 177.67, 83993);
INSERT INTO LGINVOICE VALUES (2354, '24-SEP-11', 207, 507.79, 83906);
INSERT INTO LGINVOICE VALUES (2355, '24-SEP-11', 445, 272.93, 83850);
INSERT INTO LGINVOICE VALUES (2356, '24-SEP-11', 1012, 218.25, 83763);
INSERT INTO LGINVOICE VALUES (2358, '24-SEP-11', 295, 325.82, 83565);
INSERT INTO LGINVOICE VALUES (2359, '24-SEP-11', 339, 149.79, 83763);
INSERT INTO LGINVOICE VALUES (2360, '25-SEP-11', 1013, 226.83, 83593);
INSERT INTO LGINVOICE VALUES (2361, '25-SEP-11', 766, 100.55, 84306);
INSERT INTO LGINVOICE VALUES (2362, '25-SEP-11', 1014, 212.03, 83537);
INSERT INTO LGINVOICE VALUES (2364, '25-SEP-11', 877, 300.32, 83906);
INSERT INTO LGINVOICE VALUES (2365, '25-SEP-11', 1016, 273.66, 84106);
INSERT INTO LGINVOICE VALUES (2366, '25-SEP-11', 636, 253.09, 83565);
INSERT INTO LGINVOICE VALUES (2367, '25-SEP-11', 785, 188.43, 83537);
INSERT INTO LGINVOICE VALUES (2368, '25-SEP-11', 1017, 215.67, 83734);
INSERT INTO LGINVOICE VALUES (2370, '25-SEP-11', 627, 107.96, 83878);
INSERT INTO LGINVOICE VALUES (2371, '26-SEP-11', 1018, 206.05, 84334);
INSERT INTO LGINVOICE VALUES (2372, '26-SEP-11', 311, 159.92, 83878);
INSERT INTO LGINVOICE VALUES (2373, '26-SEP-11', 1011, 278.26, 84392);
INSERT INTO LGINVOICE VALUES (2374, '26-SEP-11', 297, 75.96, 84248);
INSERT INTO LGINVOICE VALUES (2376, '26-SEP-11', 382, 269.38, 83820);
INSERT INTO LGINVOICE VALUES (2377, '26-SEP-11', 930, 184.12, 83593);
INSERT INTO LGINVOICE VALUES (2378, '26-SEP-11', 1019, 364.6, 83734);
INSERT INTO LGINVOICE VALUES (2379, '26-SEP-11', 1020, 77.65, 84219);
INSERT INTO LGINVOICE VALUES (2380, '27-SEP-11', 1021, 191.84, 84191);
INSERT INTO LGINVOICE VALUES (2382, '27-SEP-11', 1023, 383.66, 83677);
INSERT INTO LGINVOICE VALUES (2383, '27-SEP-11', 180, 285.59, 84276);
INSERT INTO LGINVOICE VALUES (2384, '27-SEP-11', 134, 118.32, 83593);
INSERT INTO LGINVOICE VALUES (2385, '27-SEP-11', 489, 117.04, 83509);
INSERT INTO LGINVOICE VALUES (2386, '27-SEP-11', 1024, 23.18, 84078);
INSERT INTO LGINVOICE VALUES (2388, '27-SEP-11', 1026, 176.57, 84420);
INSERT INTO LGINVOICE VALUES (2389, '27-SEP-11', 784, 475.96, 84306);
INSERT INTO LGINVOICE VALUES (2390, '27-SEP-11', 217, 90.93, 84334);
INSERT INTO LGINVOICE VALUES (2391, '28-SEP-11', 298, 201.92, 84049);
INSERT INTO LGINVOICE VALUES (2392, '28-SEP-11', 1027, 58.76, 83677);
INSERT INTO LGINVOICE VALUES (2394, '28-SEP-11', 328, 131.9, 83705);
INSERT INTO LGINVOICE VALUES (2395, '28-SEP-11', 103, 87.71, 84420);
INSERT INTO LGINVOICE VALUES (2396, '28-SEP-11', 1029, 224.61, 83936);
INSERT INTO LGINVOICE VALUES (2397, '28-SEP-11', 1030, 264.86, 83593);
INSERT INTO LGINVOICE VALUES (2398, '28-SEP-11', 1031, 62.36, 83936);
INSERT INTO LGINVOICE VALUES (2401, '29-SEP-11', 712, 120.81, 84134);
